,returncode,start_time,time_sec,rt_seg_ratio,total_t_time,rt_dur_ratio,max_cpu,max_gpu,max_ram,max_vram,avg_cpu,avg_gpu,avg_ram,avg_vram,sess_count,detect_freq,detect_sample_rate
38,0,1631870252.7759483,83.94,1.0,15.364554096000003,0.05122,93.3,26,986804.0,1460535296,69.52857142857142,12.75,649514.5,62923614.315789476,5,0,10
39,0,1631870336.737295,83.95,1.0,15.31726116099999,0.05106,106.7,21,990912.0,1460535296,76.07142857142857,11.375,660448.0,63553104.84210526,5,0,15
40,0,1631870420.7041593,83.94,1.0,15.344580579999999,0.05115,100.0,20,992084.0,1460535296,76.74285714285713,11.75,665579.0,62912404.21052632,5,0,20
41,0,1631870504.6626308,83.95,1.0,15.378513008000006,0.05126,100.0,22,990716.0,1460535296,75.22857142857143,11.555555555555555,660614.0,62888690.526315786,5,0,24
42,0,1631870588.6293693,101.6,0.04,394.74312834199986,1.316,453.3,92,3765612576.768,4651614208,363.52941176470586,82.94,3517603371.300481,1385268444.3544304,5,1,1
43,0,1631870690.248943,81.03,1.0,32.55297414200001,0.1085,313.3,67,3761317609.472,4651614208,86.03714285714285,28.52,3490845721.6864,1373599718.0759494,5,1,5
44,0,1631870771.2986567,81.01,1.0,23.557197744,0.07852,287.5,57,3753801416.704,4651614208,136.15882352941176,29.68,3480752561.1008,1372502197.4683545,5,1,10
45,0,1631870852.3246644,81.05,1.0,20.93312163199999,0.06978,313.3,47,3754875158.528,4651614208,144.6375,19.19607843137255,3479313754.6566405,1372407626.5316455,5,1,15
46,0,1631870933.3901987,81.01,1.0,19.69613919199999,0.06565,286.7,44,3745211482.112,4651614208,107.28181818181817,22.941176470588236,3468340103.93536,1370759271.6962025,5,1,20
47,0,1631871014.4184923,81.06,1.0,19.14170182,0.06381,293.3,47,3745211482.112,4651614208,148.13999999999996,20.6,3470122517.8432,1370728577.620253,5,1,24
48,0,1631871095.4997094,81.33,0.98,49.57618494399998,0.1653,420.0,92,3768833802.24,4651614208,157.3033333333333,38.91836734693877,3514081513.3177595,1382743649.21519,5,5,1
49,0,1631871176.8471012,81.11,1.0,19.803618309000022,0.06601,326.7,67,3762391351.296,4651614208,158.75625,19.568627450980394,3491103428.0441604,1373492703.5949366,5,5,5
